           70           95       186000    12.00000000000000     
  0.000000000000000D+00 -0.406846865225186D-16  0.100000000000000D+01
  0.147427307994489D+00 -0.406846865225186D-16  0.000000000000000D+00
  0.291717413954879D+00 -0.406846865225186D-16  0.000000000000000D+00
  0.432941575186811D+00 -0.406846865225186D-16  0.000000000000000D+00
  0.571169534886834D+00 -0.406846865225186D-16  0.000000000000000D+00
  0.706469556584922D+00 -0.406846865225186D-16  0.000000000000000D+00
  0.838908457856228D+00 -0.406846865225186D-16  0.000000000000000D+00
  0.968551643318790D+00 -0.406846865225186D-16  0.000000000000000D+00
  0.109546313693343D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.121970561362182D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.134134043021834D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.146042765577102D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.157702610120644D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.169119334837339D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.180298577847952D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.191245859993505D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.201966587561730D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.212466054956953D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.222749447314717D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.232821843062457D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.242688216427457D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.252353439893371D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.261822286606479D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.271099432732897D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.280189459767888D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.289096856798423D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.297826022720105D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.306381268409552D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.314766818853315D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.322986815234372D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.331045316977247D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.338946303752741D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.346693677443286D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.354291264069879D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.361742815681551D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.369052012208309D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.376222463278462D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.383257710001221D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.390161226715472D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.396936422705568D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.403586643884994D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.410115174448742D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.416525238495198D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.422820001618356D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.429002572471140D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.435076004300605D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.441043296455771D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.446907395868849D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.452671198510575D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.458337550820375D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.463909251112075D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.469389050955840D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.474779656537028D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.480083729992639D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.485303890725997D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.490442716700341D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.495502745711944D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.500486476643396D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.505396370697674D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.510234852613599D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.515004311863284D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.519707103832177D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.524345550982252D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.528921943998961D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.533438542922475D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.537897578263805D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.542301252106329D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.546651739193291D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.550951188001788D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.555201721803792D+01 -0.406846865225186D-16  0.000000000000000D+00
  0.559405439714722D+01 -0.406846865225186D-16  0.000000000000000D+00
